"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","OLIGO_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg08971281",0.242397437472503,0.642230500063489,10.019226936846,2.63675837090446e-21,3.77829835858248e-20,37.3552502400933,0.544565513120685,0.786962950593187,0.242397437472502,"17",40575485,"R","I","PTRF","TSS200","island","TSS200-island","chr17:40573740-40575526",NA,NA,"","","","NO"
"cg24416513",0.20816453317295,0.169675274695479,10.0172239307361,2.68013349837562e-21,3.83387589819006e-20,37.3391039693508,0.0858031569607464,0.293967690133696,0.20816453317295,"2",176994764,"R","I","HOXD8","5'UTR","island","5'UTR-island","chr2:176993479-176995557",TRUE,NA,"","","","NO"
"cg11567854",0.223114232466828,0.321438905927363,9.993961577479,3.23885027259488e-21,4.62518891918933e-20,37.1517299317843,0.231543365661603,0.454657598128431,0.223114232466828,"12",52427143,"F","I","","IGR","island","IGR-island","chr12:52426738-52427186",NA,TRUE,"","rs79591354","","NO"
"cg02527669",0.220232876634774,0.571500807986079,9.99138979985464,3.30731356576052e-21,4.71489718914051e-20,37.1310310562104,0.48276620235168,0.702999078986453,0.220232876634773,"2",220417030,"R","I","OBSL1","Body","island","Body-island","chr2:220416863-220417869",NA,NA,"","","","NO"
"cg04487931",0.187164132606414,0.214794161684733,9.97219353991805,3.86580588550165e-21,5.5016937593664e-20,36.9766334350148,0.139383370391857,0.326547502998271,0.187164132606414,"1",28199109,"R","I","C1orf38","1stExon","island","1stExon-island","chr1:28199031-28199257",TRUE,NA,"","","","NO"
"cg20824761",0.152654613645358,0.122767654403196,9.97344556058675,4.04511753899659e-21,5.74709386407782e-20,36.9395394112329,NA,NA,NA,"15",69591567,"R","I","PAQR5","5'UTR","island","5'UTR-island","chr15:69591246-69591754",TRUE,NA,"","","","NO"
"cg25738958",0.220350730348163,0.452243631822468,9.96424215597276,4.12369485545941e-21,5.84878553862613e-20,36.9127328164322,0.36346154143947,0.583812271787634,0.220350730348163,"15",74220255,"F","I","LOXL1","Body","island","Body-island","chr15:74218696-74220373",NA,NA,"high-CpG:72006975-72007335","","","NO"
"cg24932289",0.298773013017149,0.354451338804537,9.97920349096827,4.38173882152938e-21,6.20424510424685e-20,36.8749988451396,NA,NA,NA,"X",40036253,"F","I","BCOR","5'UTR","island","5'UTR-island","chrX:40036252-40036508",TRUE,NA,"","","","NO"
"cg22787977",0.190050240172247,0.546341654200383,9.95596998622058,4.41011955802963e-21,6.23386443109637e-20,36.8462873813262,0.469768013742633,0.65981825391488,0.190050240172247,"6",159240566,"R","I","EZR","TSS200","island","TSS200-island","chr6:159239081-159240775",NA,NA,"","","","NO"
"cg15490781",0.198053016566123,0.201148610246823,9.95825154465516,4.57499567195815e-21,6.45599896005716e-20,36.8185237815526,0.122803313767349,NA,NA,"2",219858271,"R","I","CRYBA2","TSS200","island","TSS200-island","chr2:219857682-219858917",TRUE,TRUE,"","","","NO"
"cg16293631",0.215237950935979,0.326846177227501,9.93922134412064,5.0518930501203e-21,7.11695017549831e-20,36.7118591482042,0.240124090199898,0.455362041135877,0.215237950935979,"17",38020606,"R","I","IKZF3","TSS200","island","TSS200-island","chr17:38020381-38020645",TRUE,NA,"","","","NO"
"cg09014626",-0.24677246474936,0.621123037763725,-9.93684913450321,5.14999036452056e-21,7.2429325766338e-20,36.6928305158768,0.720550778415166,0.473778313665807,-0.24677246474936,"5",2990194,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","NO"
"cg19808978",0.210771818811354,0.20491590836185,9.92673314188623,5.58998025538933e-21,7.8485201770626e-20,36.6117166201622,0.119993282335916,0.33076510114727,0.210771818811354,"19",50031273,"R","I","RCN3","1stExon","island","1stExon-island","chr19:50030981-50031300",NA,TRUE,"high-CpG:54723044-54723093","","","NO"
"cg15028052",0.203519973681297,0.483541014116371,9.92628319287428,5.61039442448462e-21,7.86396560774237e-20,36.608109937037,0.401540248021479,0.605060221702776,0.203519973681297,"20",62588587,"R","I","UCKL1","TSS1500","shore","TSS1500-shore","chr20:62586919-62588218",NA,NA,"","","","NO"
"cg13152952",0.256062127871765,0.310004488085238,9.91613542311373,6.09096872187037e-21,8.52327515954859e-20,36.5267945736814,0.206833824913605,0.46289595278537,0.256062127871766,"8",41570554,"R","I","ANK1","Body","opensea","Body-opensea","",TRUE,TRUE,"","","","NO"
"cg11546137",0.19574118801116,0.233485375175297,9.91237488717566,6.27925102469006e-21,8.77205067897337e-20,36.4966739269887,0.154618780005752,0.350359968016912,0.19574118801116,"2",176972563,"F","I","HOXD11","1stExon","shore","1stExon-shore","chr2:176973427-176973718",NA,NA,"high-CpG:176680606-176680908","","","NO"
"cg23100152",0.207991506822458,0.467492710401488,9.9088830448837,6.45924785913352e-21,9.00844016948271e-20,36.4687117286899,0.383690307167196,0.591681813989655,0.207991506822458,"11",10472156,"R","I","AMPD3","TSS200","island","TSS200-island","chr11:10472000-10472857",TRUE,NA,"high-CpG:10428689-10428828","","","NO"
"cg22995692",-0.226289503828049,0.55397684195507,-9.90842633682771,6.48316573516317e-21,9.02672775859219e-20,36.4650549215547,0.645151739128508,0.418862235300458,-0.22628950382805,"5",141263164,"F","I","","IGR","island","IGR-island","chr5:141262988-141263195",TRUE,NA,"","","","NO"
"cg08182446",0.199113028111264,0.235710173885837,9.90323632794637,6.76122108914821e-21,9.39820981343497e-20,36.4235064351535,0.155485021782755,0.354598049894019,0.199113028111264,"15",27216012,"R","I","GABRG3","TSS1500","island","TSS1500-island","chr15:27215951-27216856",NA,NA,"","","","NO"
"cg27034902",-0.221152351331125,0.534374011889804,-9.90050718183003,6.91215124452799e-21,9.59204509913402e-20,36.4016637082519,0.623479085484384,0.402326734153258,-0.221152351331126,"3",182971430,"R","II","MCF2L2","Body","island","Body-island","chr3:182971429-182972635",NA,NA,"high-CpG:184453547-184454650","","","NO"
"cg24613080",0.211369269384658,0.239783676085544,9.89458690314303,7.25115259198427e-21,1.0045792496424e-19,36.3542935098474,0.154620329682988,0.365989599067646,0.211369269384658,"17",32484035,"R","I","ACCN1","TSS1500","island","TSS1500-island","chr17:32484007-32484280",NA,TRUE,"","","","NO"
"cg05873285",0.222050055980037,0.246941576429387,9.89173191362877,7.42047950931648e-21,1.02633585796076e-19,36.3314559995174,0.157474806301508,0.379524862281545,0.222050055980037,"6",106960491,"F","I","AIM1","1stExon","island","1stExon-island","chr6:106959764-106960985",TRUE,NA,"high-CpG:107066783-107067498","","","NO"
"cg00650856",0.201352885699223,0.398689128738533,9.88840842863771,7.62254108428353e-21,1.05254063170421e-19,36.3048760445855,0.317561509743215,0.518914395442439,0.201352885699223,"4",4389720,"R","I","D4S234E","Body","island","Body-island","chr4:4387593-4389919",TRUE,NA,"","","","NO"
"cg23192736",-0.312942529691351,0.565762552987407,-9.88094740234856,8.09626545466424e-21,1.11610893743012e-19,36.2452257184965,0.691851047960135,0.378908518268785,-0.31294252969135,"X",139846687,"R","I","","IGR","island","IGR-island","chrX:139846646-139846955",NA,NA,"","","","DOWN"
"cg25528916",0.265696709620673,0.301053724601519,9.8733858221904,8.60618166469399e-21,1.1844487912167e-19,36.1847998628141,0.194001166841733,0.459697876462406,0.265696709620672,"19",4328818,"F","I","STAP2","Body","island","Body-island","chr19:4328658-4328865",NA,NA,"","rs11882358","","NO"
"cg21331088",0.137962692958098,0.120207762270134,9.86701528595269,9.06042724104663e-21,1.2449146245346e-19,36.1339140436947,0.0646208520006094,0.202583544958707,0.137962692958098,"18",908290,"F","I","ADCYAP1","Body","island","Body-island","chr18:904578-909574",NA,NA,"","","","NO"
"cg11844358",0.191992550435241,0.750524272204378,9.86403200829185,9.2812508063422e-21,1.27316205642336e-19,36.1100915565254,0.673168050427072,0.865160600862314,0.191992550435241,"18",77211065,"F","I","NFATC1","Body","island","Body-island","chr18:77210989-77211213",NA,NA,"","rs73007698","","NO"
"cg12347429",-0.235993732389969,0.551362872760211,-9.84865246957544,1.05072502088308e-20,1.43897652859955e-19,35.9873514982026,0.646447726101801,0.410453993711831,-0.23599373238997,"6",21666834,"R","I","FLJ22536","Body","island","Body-island","chr6:21666655-21666862",NA,NA,"","","","NO"
"cg03130627",0.19548873709873,0.396214393113804,9.83784685765391,1.14634812849523e-20,1.56736370956614e-19,35.9011857696924,0.317449513603151,0.512938250701881,0.19548873709873,"6",159240554,"R","I","EZR","TSS200","island","TSS200-island","chr6:159239081-159240775",NA,NA,"","","","NO"
"cg25953220",0.200697646208134,0.431561715770151,9.83760032018304,1.14862772252097e-20,1.56791437809481e-19,35.8992205240874,0.350698101035805,0.551395747243939,0.200697646208134,"6",159240552,"R","I","EZR","TSS200","island","TSS200-island","chr6:159239081-159240775",NA,NA,"","","","NO"
"cg17480646",0.226697308219674,0.369132716360433,9.83576149023139,1.16577286216226e-20,1.58872210285539e-19,35.8845634630884,0.277793509650564,0.504490817870239,0.226697308219674,"11",65405466,"F","I","SIPA1","TSS200","shelf","TSS200-shelf","chr11:65408344-65408631",NA,TRUE,"","rs2306362","","NO"
"cg17203313",0.177454607474355,0.259833001481608,9.8266346732072,1.25470269958e-20,1.70713132773474e-19,35.8118400383205,0.188334300411844,0.365788907886198,0.177454607474355,"17",42907937,"R","I","GJC1","5'UTR","island","5'UTR-island","chr17:42906810-42908061",TRUE,NA,"","","","NO"
"cg04672538",0.259476960048408,0.429576486824183,9.82924677329852,1.29519707915946e-20,1.75936201614603e-19,35.7866903841908,NA,NA,NA,"17",66287071,"F","II","ARSG","5'UTR","island","5'UTR-island","chr17:66286541-66288532",NA,NA,"","","","NO"
"cg16016176",0.135652480812539,0.52234832628154,9.82245566592884,1.29763820752669e-20,1.75981649118149e-19,35.7785552748003,0.467692229643478,0.603344710456017,0.13565248081254,"3",119298513,"R","I","ADPRH","TSS200","island","TSS200-island","chr3:119298284-119298983",NA,TRUE,"high-CpG:120781045-120781299","","","NO"
"cg13941374",0.203800901154935,0.210475699114762,9.82097726550474,1.31317398278112e-20,1.7779992629098e-19,35.7667822868762,0.128361743795055,0.33216264494999,0.203800901154935,"1",55007725,"R","I","","IGR","island","IGR-island","chr1:55007704-55008448",NA,NA,"","","","NO"
"cg00142106",0.182790658215473,0.164141590142833,9.8191682666956,1.3324351583108e-20,1.80115911205961e-19,35.7523781343044,0.0904929268812589,0.273283585096732,0.182790658215473,"6",29760769,"R","I","HCG4","Body","island","Body-island","chr6:29759946-29760903",TRUE,NA,"","","rs34132972","NO"
"cg24342409",0.224364635326176,0.268651949329501,9.81524811583058,1.38954543533445e-20,1.87532513195218e-19,35.7118184492819,NA,0.402397291555567,NA,"15",92937992,"F","I","ST8SIA2","Body","island","Body-island","chr15:92936677-92938521",TRUE,NA,"","","","NO"
"cg15811515",0.162423443184263,0.123341262707374,9.8036492828414,1.50962030864228e-20,2.03409162232219e-19,35.6288760636405,0.0578988074438115,0.220322250628075,0.162423443184264,"16",31580989,"F","I","CSDAP1","TSS200","island","TSS200-island","chr16:31580559-31581023",NA,NA,"","","","NO"
"cg04056669",-0.215333698090733,0.42121654070502,-9.79749264582946,1.5862220984843e-20,2.13386463941029e-19,35.5799144537467,0.507977205469733,0.292643507379,-0.215333698090733,"3",195614059,"F","I","TNK2","Body","shore","Body-shore","chr3:195613588-195613966",NA,NA,"","","","NO"
"cg10106363",0.153792035038269,0.152151311462789,9.79729420224895,1.62206843618556e-20,2.17857873245887e-19,35.5612086535805,0.0906344974474813,NA,NA,"21",30670923,"R","I","BACH1","TSS1500","island","TSS1500-island","chr21:30670744-30671786",NA,NA,"","","","NO"
"cg05513069",0.176020007964851,0.203191072057969,9.79322525045748,1.64156873184806e-20,2.20123036691151e-19,35.5459885776316,0.13227038923718,0.308290397202031,0.176020007964851,"18",43608309,"F","I","PSTPIP2","Body","island","Body-island","chr18:43608140-43608510",TRUE,NA,"","","","NO"
"cg26818735",0.116535347811582,0.0677531791449935,9.78261824555639,1.80608699730871e-20,2.4179568550508e-19,35.4532082133895,0.0209689154250154,NA,NA,"7",19156621,"F","I","TWIST1","1stExon","island","1stExon-island","chr7:19156050-19158042",TRUE,NA,"high-CpG:19123139-19123254","","","NO"
"cg00508334",0.203304140174761,0.288445805731688,9.77922526019866,1.83695104488676e-20,2.45534224463744e-19,35.4347531163974,0.206532001680692,0.409836141855453,0.203304140174761,"7",23510438,"F","I","IGF2BP3","TSS1500","shore","TSS1500-shore","chr7:23508184-23509712",TRUE,NA,"","","","NO"
"cg26919818",0.131474618476257,0.111864664283903,9.77452253757631,1.90762666465862e-20,2.54573692596775e-19,35.3974104110248,0.0588918811114301,0.190366499587687,0.131474618476257,"5",177540566,"R","I","N4BP3","5'UTR","island","5'UTR-island","chr5:177540207-177541234",TRUE,NA,"high-CpG:177472904-177473397","","","NO"
"cg17101450",0.24736988140922,0.428373163612475,9.77169010719668,1.95148942462503e-20,2.60011844550518e-19,35.3749244674428,0.328704716248566,0.576074597657786,0.24736988140922,"10",102900365,"F","I","","IGR","shore","IGR-shore","chr10:102899177-102899489",NA,NA,"","","","NO"
"cg01892516",0.122912558573008,0.0761874040574001,9.76327789332673,2.10921547557423e-20,2.80579396225272e-19,35.2997420791339,0.0268429462361197,NA,NA,"14",38064532,"F","I","FOXA1","TSS200","island","TSS200-island","chr14:38063663-38065665",NA,NA,"high-CpG:37133980-37134412","","rs7141052","NO"
"cg12019614",0.255505788308012,0.722937897275163,9.76216922032805,2.15001386323589e-20,2.85551920722936e-19,35.2810132179824,NA,0.874995000560907,NA,"19",11353996,"R","I","DOCK6","Body","island","Body-island","chr19:11353960-11354362",NA,TRUE,"","","","NO"
"cg00824141",0.197154080310762,0.204851215115552,9.74799602433092,2.408485432779e-20,3.19372814371996e-19,35.1702145948328,0.125989582991247,NA,NA,"2",106015518,"F","I","FHL2","1stExon","island","1stExon-island","chr2:106014878-106015884",TRUE,NA,"high-CpG:105381855-105381991","","","NO"
"cg26668837",0.19790515633522,0.562129426081404,9.73867240618642,2.54287918261195e-20,3.36659472132175e-19,35.1131061383122,0.482390940761874,0.680296097097094,0.197905156335221,"11",8615356,"F","I","STK33","1stExon","shore","1stExon-shore","chr11:8615397-8615889",TRUE,NA,"","rs35954849","","NO"
"cg20980783",0.195347757660854,0.283568227677543,9.73810101274021,2.55454229282763e-20,3.37668454339905e-19,35.1085800819385,0.204860150561762,0.400207908222617,0.195347757660854,"8",67874178,"R","I","","IGR","island","IGR-island","chr8:67873388-67875600",TRUE,TRUE,"","","","NO"
"cg27579711",-0.231624861236939,0.617724758438617,-9.739112538011,2.61256154850079e-20,3.44792088091242e-19,35.0907231872873,NA,NA,NA,"6",26172931,"R","II","","IGR","shore","IGR-shore","chr6:26172033-26172398",NA,NA,"","","","NO"
"cg02692964",0.25688718809513,0.631602156975228,9.73274033968775,2.66658031171747e-20,3.51366118676462e-19,35.0661258409273,0.528099066626219,0.78498625472135,0.25688718809513,"17",40575494,"R","I","PTRF","TSS200","island","TSS200-island","chr17:40573740-40575526",NA,NA,"","","","NO"
"cg15626285",-0.18518718425017,0.768543909138058,-9.78235547800449,2.94873641118041e-20,3.87323018537754e-19,35.0351012073549,NA,NA,NA,"12",7167781,"F","I","C1S","TSS200","opensea","TSS200-opensea","",TRUE,TRUE,"","","","NO"
"cg25551714",0.179597541908836,0.704817493460873,9.7233357914876,2.93375170567163e-20,3.85961602349304e-19,34.9736016241538,NA,0.811699933035888,NA,"11",116452003,"F","I","","IGR","shore","IGR-shore","chr11:116450659-116451912",NA,NA,"","","","NO"
"cg07676859",0.194382509324049,0.189646081152669,9.7186013386043,2.98601940338471e-20,3.91604491301035e-19,34.9542213602557,0.111326914774532,0.305709424098582,0.194382509324049,"20",23015932,"R","I","SSTR4","TSS200","island","TSS200-island","chr20:23015716-23016879",NA,NA,"","","","NO"
"cg01912921",0.199457133551866,0.24790926423087,9.70474841974881,3.33575487353636e-20,4.36785207108508e-19,34.8446802278803,0.16754546770269,0.367002601254557,0.199457133551866,"6",1611712,"F","I","FOXC1","1stExon","island","1stExon-island","chr6:1604606-1615866",NA,NA,"high-CpG:1556543-1556796","","","NO"
"cg10865856",-0.230814665275734,0.301398782587723,-9.70225258305539,3.40295320315981e-20,4.44886871035948e-19,34.8249549925931,0.39439692442212,0.163582259146386,-0.230814665275734,"6",30043061,"F","I","RNF39","1stExon","island","1stExon-island","chr6:30042918-30043500",NA,TRUE,"","","","NO"
"cg20097650",0.186928618295805,0.19424383832402,9.69877861787284,3.4987279497352e-20,4.56693332688873e-19,34.7975046714433,0.118927938719399,0.305856557015204,0.186928618295805,"2",120980838,"F","I","TMEM185B","Body","island","Body-island","chr2:120980332-120981451",NA,NA,"high-CpG:120697182-120697495","","","NO"
"cg05451573",0.216181895096612,0.482001845891684,9.69588542809385,3.5805286038977e-20,4.66641746598462e-19,34.774648200148,0.394899431847904,0.611081326944515,0.216181895096611,"3",97691096,"F","I","MINA","5'UTR","island","5'UTR-island","chr3:97690785-97691409",NA,NA,"","","","NO"
"cg24847829",0.128996270414146,0.0949636782068031,9.67892486833885,4.09967518688713e-20,5.33468637246964e-19,34.6407445854558,0.0429894527486763,0.171985723162822,0.128996270414146,"5",136834464,"F","I","SPOCK1","5'UTR","island","5'UTR-island","chr5:136834016-136835146",NA,NA,"","","","NO"
"cg10861807",0.229313439397403,0.615323734928867,9.67296898679258,4.29915964307983e-20,5.58556448806981e-19,34.5937579651204,0.52293045594836,0.752243895345764,0.229313439397404,"17",40575499,"R","I","PTRF","TSS200","island","TSS200-island","chr17:40573740-40575526",NA,NA,"","","","NO"
"cg06727510",0.213666721851271,0.297863759549088,9.67090488251688,4.37051724757376e-20,5.66945669040857e-19,34.5774782715095,0.21177474055076,0.425441462402031,0.213666721851271,"2",96810690,"R","I","DUSP2","Body","island","Body-island","chr2:96810443-96811454",NA,TRUE,"","","","NO"
"cg07291958",0.167042305282027,0.335247188585395,9.66254216116802,4.67184625668925e-20,6.05094629897395e-19,34.5115435128097,0.267943735486326,0.434986040768354,0.167042305282027,"2",26785531,"F","I","C2orf70","1stExon","island","1stExon-island","chr2:26785114-26785687",TRUE,NA,"","rs75378185","","NO"
"cg12434587",0.175692913707854,0.246376866109998,9.65483007897858,4.96795696966243e-20,6.42450658274921e-19,34.4507705654221,0.175587973693726,0.351280887401581,0.175692913707854,"10",131265209,"R","I","MGMT","TSS1500","island","TSS1500-island","chr10:131264948-131265710",NA,NA,"","","","NO"
"cg14394550",0.26328921266702,0.279825491105936,9.6711010406371,5.72651235935979e-20,7.39401611284261e-19,34.3541832384229,NA,NA,NA,"8",22548400,"R","I","EGR3","Body","island","Body-island","chr8:22547486-22553427",NA,NA,"","","","NO"
"cg01088070",0.189563599760182,0.256177669748626,9.63598865331666,5.77201662084404e-20,7.44126957569924e-19,34.3024249612257,0.179800102854961,0.369363702615142,0.189563599760182,"6",71665395,"F","I","B3GAT2","Body","island","Body-island","chr6:71665360-71667132",NA,NA,"","","","NO"
"cg11755107",-0.23751707650114,0.344461177274475,-9.62105642896963,6.4998689078793e-20,8.36670336770781e-19,34.1849883245213,0.440159805185128,0.202642728683988,-0.23751707650114,"8",33371996,"R","I","C8orf41","TSS1500","island","TSS1500-island","chr8:33371897-33372526",NA,NA,"","","","NO"
"cg07534186",0.194831179875865,0.21857289682567,9.62006220905077,6.55144293052339e-20,8.42011603716806e-19,34.1771732377705,0.140072955419374,0.33490413529524,0.194831179875866,"2",113915259,"R","I","","IGR","island","IGR-island","chr2:113914681-113915396",TRUE,TRUE,"","","","NO"
"cg23808946",0.19765296002405,0.495237904134163,9.6196885606176,6.57093028508298e-20,8.4321891861111e-19,34.1742362987614,0.415601031891463,0.613253991915513,0.19765296002405,"2",45169548,"R","I","SIX3","1stExon","island","1stExon-island","chr2:45169505-45171884",TRUE,NA,"","","","NO"
"cg02668843",0.222543198921068,0.686006495345489,9.61604248814815,6.83011066445868e-20,8.75134117958402e-19,34.136936262097,NA,0.818666066478486,NA,"17",40575479,"R","II","PTRF","TSS200","island","TSS200-island","chr17:40573740-40575526",NA,NA,"","","","NO"
"cg24144083",0.0986677869947269,0.0657957166694083,9.61189592628749,6.99071055520632e-20,8.94339907782444e-19,34.1130013876884,0.0260412199676493,0.124709006962376,0.0986677869947269,"3",36805814,"R","I","","IGR","shore","IGR-shore","chr3:36805949-36806214",NA,NA,"","","","NO"
"cg19295951",0.219419082791482,0.456416433904364,9.60676659865152,7.28143001519941e-20,9.30108048118897e-19,34.0727120643642,0.368009716080611,0.587428798872094,0.219419082791483,"15",45421998,"F","I","DUOX1","TSS200","island","TSS200-island","chr15:45421236-45422394",TRUE,TRUE,"","","","NO"
"cg01047432",-0.191804485792308,0.372964274463379,-9.60579635663929,7.33775496963662e-20,9.35871832310601e-19,34.0650926414955,0.450244722622415,0.258440236830108,-0.191804485792308,"1",52195190,"F","I","OSBPL9","TSS1500","island","TSS1500-island","chr1:52195028-52195821",TRUE,NA,"","","","NO"
"cg27569300",0.211028553525148,0.58929175764512,9.60079307921716,7.63514051276414e-20,9.7231652200658e-19,34.0258090847227,0.504265689962658,0.715294243487805,0.211028553525148,"15",99645065,"F","I","SYNM","TSS1500","island","TSS1500-island","chr15:99645030-99646444",NA,NA,"","","","NO"
"cg18652900",0.234808149806628,0.273655521584787,9.59038904838156,8.29235055163498e-20,1.05440329540881e-18,33.9441628147559,0.179048354429689,0.413856504236318,0.234808149806629,"19",15580445,"R","I","PGLYRP2","Body","island","Body-island","chr19:15580382-15580863",NA,NA,"","","","NO"
"cg21396456",0.21976765329569,0.464856835987761,9.58940562269514,8.35730179361865e-20,1.06104710005912e-18,33.9364482334261,0.37630967470843,0.596077328004119,0.21976765329569,"3",43021214,"R","I","FAM198A","Body","island","Body-island","chr3:43020702-43021354",NA,NA,"","","","NO"
"cg20018234",-0.184184457331244,0.171273131029679,-9.59509662088182,8.46889771031164e-20,1.07358378561371e-18,33.9291293283272,NA,0.0623956193067759,NA,"1",156084659,"F","I","LMNA","5'UTR","island","5'UTR-island","chr1:156084486-156085097",NA,NA,"","","","NO"
"cg12318400",0.189245179796308,0.288744198452298,9.58744505161532,8.48829904239805e-20,1.07441288182111e-18,33.9210698389558,0.21249492698097,0.401740106777278,0.189245179796308,"11",10472159,"R","I","AMPD3","TSS200","island","TSS200-island","chr11:10472000-10472857",TRUE,NA,"high-CpG:10428689-10428828","","","NO"
"cg12112529",0.149556949359485,0.107446000133501,9.58928743197148,8.527884809857e-20,1.07779046447119e-18,33.9191220738816,NA,NA,NA,"10",118922736,"R","I","","IGR","island","IGR-island","chr10:118922351-118923520",NA,NA,"","","","NO"
"cg00940786",0.244915026100496,0.32596647675936,9.58807745713298,8.61006356824703e-20,1.08653279530416e-18,33.9096394694155,NA,NA,NA,"17",66286993,"F","I","ARSG","5'UTR","island","5'UTR-island","chr17:66286541-66288532",NA,NA,"","","","NO"
"cg04180929",-0.230689448519374,0.401902045848268,-9.58253041165524,8.82569490535684e-20,1.11206418158901e-18,33.8825290127735,0.494849736271122,0.264160287751748,-0.230689448519374,"14",105030570,"F","I","","IGR","opensea","IGR-opensea","",NA,TRUE,"","rs28607615","","NO"
"cg22135752",0.204078568394763,0.370919640065136,9.57481785611368,9.38217724097785e-20,1.18040223902303e-18,33.822072172787,0.288693809109965,0.492772377504728,0.204078568394763,"5",6583380,"R","I","LOC255167","Body","island","Body-island","chr5:6582882-6583807",TRUE,TRUE,"","","","NO"
"cg10376408",0.262352058063145,0.392041780108464,9.57346014176265,9.48368119673911e-20,1.19137853710614e-18,33.8114325909468,0.286336824675255,0.5486888827384,0.262352058063145,"11",9113406,"F","I","SCUBE2","TSS1500","island","TSS1500-island","chr11:9112461-9113459",TRUE,NA,"","","","NO"
"cg26584339",0.240599476729661,0.467885679475797,9.55932958118082,1.06069532033966e-19,1.33048779371134e-18,33.7007570779915,0.370945113608992,0.611544590338653,0.240599476729661,"X",37545135,"R","I","XK","5'UTR","island","5'UTR-island","chrX:37544804-37545419",TRUE,NA,"","","","NO"
"cg05006067",0.218478355890183,0.313085663900962,9.54496742923553,1.18838069838231e-19,1.48841564532021e-18,33.5883745657836,0.225057976818995,0.443536332709178,0.218478355890183,"17",31545,"R","I","DOC2B","TSS200","island","TSS200-island","chr17:29994-31868",NA,NA,"high-CpG:31242-31637","","","NO"
"cg16788099",0.133221860198169,0.612032213024304,9.54092074281969,1.22703338128148e-19,1.53452647712957e-18,33.5567291083202,0.558355444109508,0.691577304307677,0.133221860198169,"11",67141792,"R","I","LOC100130987","Body","shore","Body-shore","chr11:67139887-67141146",NA,NA,"","","","NO"
"cg16709232",0.165302605019263,0.546060702350117,9.53997473158796,1.23624770428774e-19,1.54373891205079e-18,33.5493324508474,0.479458196444298,0.64476080146356,0.165302605019262,"17",72322154,"R","I","KIF19","TSS200","island","TSS200-island","chr17:72321948-72322461",NA,NA,"","","rs34384772","NO"
"cg14192291",0.308747024037413,0.346507008385024,9.64062869832229,1.44564068954613e-19,1.79448474301165e-18,33.505629366952,NA,NA,NA,"9",135465435,"R","I","BARHL1","3'UTR","island","3'UTR-island","chr9:135464586-135466240",NA,TRUE,"","","","UP"
"cg07143083",0.203466566999919,0.290790413731712,9.52915357740309,1.3466571993528e-19,1.67910063334228e-18,33.4647575507123,0.208811165862813,0.412277732862732,0.203466566999919,"7",70597921,"F","I","WBSCR17","1stExon","island","1stExon-island","chr7:70596228-70598382",TRUE,NA,"","","","NO"
"cg10775273",0.220047662431398,0.441135006795981,9.52436742727546,1.3985586779323e-19,1.74121597547637e-18,33.4273700236143,0.352475026301777,0.572522688733175,0.220047662431398,"2",219857927,"F","I","CRYBA2","5'UTR","island","5'UTR-island","chr2:219857682-219858917",TRUE,TRUE,"","","","NO"
"cg13004182",0.210179705166635,0.251312229458087,9.52166683146942,1.42871467488867e-19,1.77611345149107e-18,33.4062793351243,0.166628173492889,0.376807878659524,0.210179705166635,"5",172665707,"R","I","","IGR","island","IGR-island","chr5:172665306-172666072",TRUE,TRUE,"","","","NO"
"cg03220633",0.23639849285879,0.369155175478549,9.51580498879449,1.49640742737556e-19,1.8547459418836e-18,33.3605136187542,0.273907239035444,0.510305731894234,0.23639849285879,"5",92957400,"F","II","FAM172A","Body","shore","Body-shore","chr5:92956320-92957340",TRUE,NA,"","","","NO"
"cg11413039",0.193793457324247,0.22435699522066,9.49798514526423,1.72234162145152e-19,2.13162102305274e-18,33.2214980299643,0.146275165327881,0.340068622652128,0.193793457324247,"11",125774447,"R","I","PUS3","TSS1500","island","TSS1500-island","chr11:125774292-125774584",NA,NA,"","","","NO"
"cg19672993",0.201777900012005,0.549711897963405,9.48073632128596,1.97316768346967e-19,2.43843828812213e-18,33.0870963917879,0.468413035337209,0.670190935349214,0.201777900012005,"7",70160734,"R","I","AUTS2","Body","shore","Body-shore","chr7:70158760-70160687",NA,NA,"","","","NO"
"cg20986370",0.194188972436038,0.335119880907995,9.47395655827909,2.08139063284194e-19,2.56838070114646e-18,33.0343119404874,0.256878692984737,0.451067665420775,0.194188972436038,"4",57976171,"F","I","IGFBP7","1stExon","island","1stExon-island","chr4:57975860-57976916",TRUE,NA,"","","","NO"
"cg00050152",0.143366079158901,0.115678457081526,9.47027751668085,2.14256060731555e-19,2.63996332057731e-18,33.0056785999861,0.0579144543136191,0.20128053347252,0.143366079158901,"5",180479829,"R","I","BTNL9","Body","island","Body-island","chr5:180479585-180480959",TRUE,TRUE,"","","","NO"
