"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GBM_AVG","OLIGO_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg08060857",0.575031336534078,0.335739740081193,45.3596376944125,1.17180098312478e-149,8.57951394655954e-149,331.691331382553,0.0630105918964587,0.638041928430537,0.575031336534078,"16",85202526,"R","I","","IGR","island","IGR-island","chr16:85202390-85202631",NA,NA,"","","","UP"
"cg03229627",0.616931965461728,0.452306375070755,45.3568989804666,1.19340006104993e-149,8.73000359895895e-149,331.673045217418,0.159704357166049,0.776636322627778,0.616931965461728,"7",4922039,"R","I","RADIL","5'UTR","shore","5'UTR-shore","chr7:4922707-4923576",NA,TRUE,"","","","UP"
"cg04645430",0.602869711030591,0.332788457177957,45.3550121565709,1.20851237662388e-149,8.83281924262111e-149,331.660446596428,0.0468559656605916,0.649725676691182,0.602869711030591,"4",38320671,"F","II","","IGR","opensea","IGR-opensea","",NA,TRUE,"","","","UP"
"cg02058267",0.540803573375102,0.313271215236032,45.3538054067361,1.21827813262461e-149,8.89641216778494e-149,331.652388742732,0.0567758061495549,0.597579379524657,0.540803573375102,"14",76605088,"F","II","","IGR","island","IGR-island","chr14:76604999-76605268",NA,NA,"","","","UP"
"cg13667243",0.648056429374153,0.470805602819023,45.4216816939258,1.32312027326025e-149,9.65357795879137e-149,331.573618088889,NA,0.810617426817504,NA,"5",157001561,"F","I","ADAM19","Body","island","Body-island","chr5:157001468-157001756",NA,NA,"","","","UP"
"cg22099723",0.557095115478598,0.317008042628036,45.3387631952244,1.34685759066213e-149,9.81819224466967e-149,331.551934356631,0.0527857878581873,0.609880903336785,0.557095115478598,"8",27348453,"R","II","EPHX2","TSS200","shore","TSS200-shore","chr8:27348658-27348883",NA,TRUE,"","","","UP"
"cg07636846",0.589939198979022,0.366094483863915,45.3290633691674,1.43689875110452e-149,1.04654334496314e-148,331.487144795858,0.0862947494910078,0.67623394847003,0.589939198979022,"2",27072402,"R","II","DPYSL5","5'UTR","island","5'UTR-island","chr2:27070302-27072922",NA,NA,"","","","UP"
"cg01888869",0.647466566078003,0.434837333471928,45.3204546036392,1.52185387303212e-149,1.10745359366815e-148,331.42963470676,0.127753190703504,0.775219756781506,0.647466566078003,"16",31366418,"F","I","ITGAX","TSS200","opensea","TSS200-opensea","",TRUE,NA,"","","","UP"
"cg19170881",0.668067422036932,0.516304970468804,45.2971041578607,1.77850695223431e-149,1.293093740554e-148,331.273605212756,0.199450136017002,0.867517558053934,0.668067422036932,"7",101129980,"R","I","EMID2","Body","opensea","Body-opensea","",NA,TRUE,"","","","UP"
"cg12944530",0.660826417261938,0.475439530442889,45.2806283859946,1.98530105500899e-149,1.44219174030827e-148,331.163478584861,0.162019001112941,0.82284541837488,0.660826417261938,"2",201982310,"F","II","CFLAR","5'UTR","shore","5'UTR-shore","chr2:201983198-201983709",NA,TRUE,"low-CpG:201690552-201690556","rs76524221","","UP"
"cg06692785",0.622822933451384,0.523397188088954,45.2737347882236,2.07882395263363e-149,1.5088180104519e-148,331.117392293418,0.22800116822344,0.850824101674824,0.622822933451384,"1",180882681,"F","II","KIAA1614","Body","shore","Body-shore","chr1:180881316-180882592",NA,NA,"","","","UP"
"cg22859061",0.593554848401413,0.37379500690522,45.2615327138429,2.25532342212623e-149,1.63550103024675e-148,331.035804675312,0.0922804216634071,0.685835270064821,0.593554848401413,"5",180018503,"F","I","SCGB3A1","TSS200","island","TSS200-island","chr5:180017099-180019062",NA,TRUE,"","","","UP"
"cg08074820",0.614560468859727,0.446880753261055,45.2599539372403,2.27923148024547e-149,1.65140501179277e-148,331.02524725025,0.155403502316156,0.769963971175883,0.614560468859727,"20",2733358,"F","II","EBF4","Body","island","Body-island","chr20:2732746-2733630",NA,NA,"","","","UP"
"cg19899694",0.579636919070756,0.340750993130161,45.2393898875046,2.61486631704879e-149,1.89294568566946e-148,330.887709764823,0.0658374829423167,0.645474402013073,0.579636919070757,"10",135237140,"F","I","SPRN","Body","island","Body-island","chr10:135236687-135238237",NA,NA,"","rs2492666","rs2492667","UP"
"cg16695483",0.61867677723314,0.381152114899946,45.2284185499989,2.81376422895355e-149,2.03516765096779e-148,330.814312651255,0.0877225576979421,0.706399334931082,0.61867677723314,"14",52536436,"F","I","NID2","TSS1500","island","TSS1500-island","chr14:52534581-52536722",TRUE,NA,"","rs35892978","","UP"
"cg03270929",0.518481033419439,0.279586380910324,45.1734198254336,4.06418174088414e-149,2.9370392961372e-148,330.44618718895,0.0336782336313897,0.552159267050828,0.518481033419439,"3",46735315,"R","I","ALS2CL","TSS200","island","TSS200-island","chr3:46734731-46735717",TRUE,NA,"","","","UP"
"cg11854659",0.616669536573789,0.429281218281873,45.1727708808063,4.08186003976268e-149,2.94726523527895e-148,330.441841689569,0.136803666649733,0.753473203223522,0.616669536573789,"12",113952948,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","","","UP"
"cg19927257",0.630481025029456,0.328975283870446,45.1563062038567,4.55710917516164e-149,3.28757254311747e-148,330.331575251579,0.0299471405707616,0.660428165600218,0.630481025029456,"1",155294942,"R","I","RUSC1","Body","island","Body-island","chr1:155292469-155295433",NA,NA,"","","","UP"
"cg25604326",0.511684746211613,0.309508731260643,45.1492441590348,4.7775919782517e-149,3.44365861831879e-148,330.284270970374,0.0668239659145635,0.578508712126176,0.511684746211613,"5",141061747,"R","I","ARAP3","1stExon","opensea","1stExon-opensea","",NA,NA,"high-CpG:141041828-141042333","","","UP"
"cg15810815",0.62395898845857,0.483737537224944,45.1207089458077,5.78288562536276e-149,4.16467469950694e-148,330.093077995684,0.187802702698879,0.811761691157449,0.62395898845857,"6",114663139,"R","II","","IGR","shore","IGR-shore","chr6:114663328-114664859",TRUE,NA,"","","","UP"
"cg09369381",0.539582031534733,0.279494410382077,45.1129185850129,6.0924664627538e-149,4.38384709990054e-148,330.040865832559,0.0235783611398891,0.563160392674622,0.539582031534733,"1",159824866,"R","I","VSIG8","Body","island","Body-island","chr1:159824006-159825011",NA,NA,"","","","UP"
"cg19917083",0.597708194353895,0.35338538847204,45.0844489089395,7.37199634958755e-149,5.29997052534031e-148,329.850003710807,0.069900930578478,0.667609124932373,0.597708194353895,"2",112814452,"F","II","TMEM87B","Body","shore","Body-shore","chr2:112812827-112813614",NA,NA,"","","","UP"
"cg07564962",0.576644487505809,0.289590449497904,45.1563153018025,7.747568887113e-149,5.56519264685658e-148,329.804134552136,NA,0.591957043233042,NA,"5",139076670,"F","I","","IGR","island","IGR-island","chr5:139076542-139077179",TRUE,NA,"","rs71579592","","UP"
"cg13199127",0.556809673710393,0.627433612645297,45.0681875406681,8.22036145308668e-149,5.89973364081496e-148,329.740948559666,0.363346738828367,0.920156412538761,0.556809673710394,"6",32049196,"F","I","TNXB","Body","shelf","Body-shelf","chr6:32046815-32047094",TRUE,TRUE,"","rs55800491","","UP"
"cg09869647",0.597932549834927,0.347712172892114,45.0640656635003,8.4505259371197e-149,6.05971619559639e-148,329.713301219301,0.0641213063989772,0.662053856233905,0.597932549834927,"16",49311698,"F","II","","IGR","island","IGR-island","chr16:49311413-49312308",NA,NA,"","","","UP"
"cg13051071",0.576640615970938,0.309741880341552,45.0349991261497,1.02677745991341e-148,7.35651706699538e-148,329.518287877068,0.0362494739096212,0.612890089880559,0.576640615970938,"1",145473392,"R","I","ANKRD34A","Body","island","Body-island","chr1:145472980-145474702",NA,NA,"","","","UP"
"cg26896668",0.684271933532886,0.398351303341117,45.0234989970451,1.10906207212643e-148,7.93924982908672e-148,329.441106678211,0.0738109005798055,0.758082834112691,0.684271933532886,"10",28957429,"F","I","","IGR","island","IGR-island","chr10:28957408-28958116",NA,NA,"","","","UP"
"cg23435821",0.574622457524125,0.312687936454744,45.0899486267791,1.20677773669866e-148,8.63135377772309e-148,329.360447300444,NA,0.613994268050489,NA,"12",109592934,"R","II","ACACB","Body","shore","Body-shore","chr12:109592315-109592633",NA,NA,"","","","UP"
"cg14069192",0.520440822207645,0.26950143565192,45.0044211506587,1.26040213276034e-148,9.00718513009401e-148,329.313038267531,0.0226637885477229,0.543104610755368,0.520440822207645,"9",99381052,"R","I","CDC14B","Body","island","Body-island","chr9:99380814-99382236",NA,NA,"","","","UP"
"cg18841159",0.683370771732796,0.4495515118943,45.0728109729512,1.3531892332462e-148,9.6620024397767e-148,329.245800476514,NA,0.807880598504907,NA,"6",70992041,"R","II","COL9A1","Body","island","Body-island","chr6:70992040-70992912",NA,TRUE,"","","","UP"
"cg12319602",0.637828918914882,0.371235278917006,45.0654998622528,1.42094896890864e-148,1.01371543008222e-147,329.196881526681,NA,0.705684253591572,NA,"5",43018443,"R","I","","IGR","island","IGR-island","chr5:43017968-43018668",TRUE,NA,"","","","UP"
"cg27405731",0.65263625278959,0.475972758603791,45.0500735177247,1.57528900447522e-148,1.12286385182474e-147,329.093644833001,NA,0.818186037287157,NA,"7",101571203,"F","I","CUX1","Body","opensea","Body-opensea","",NA,NA,"","","","UP"
"cg04544931",0.637914127211104,0.398887082441895,45.4318715946407,1.82427926151562e-148,1.29923520466338e-147,328.966512814762,NA,NA,NA,"6",118227732,"F","II","SLC35F1","TSS1500","shore","TSS1500-shore","chr6:118228042-118229811",NA,NA,"","","","UP"
"cg05350188",0.555779786665599,0.347810219773948,44.9456364148609,1.86977818078453e-148,1.3305048485753e-147,328.918179497707,0.0842118066696924,0.639991593335291,0.555779786665599,"2",26785353,"R","I","C2orf70","TSS200","island","TSS200-island","chr2:26785114-26785687",TRUE,NA,"","","","UP"
"cg01899542",0.660456255621745,0.570404344294345,44.9447643255901,1.88075522389096e-148,1.33717694811788e-147,328.912318914223,0.257159377342318,0.917615632964063,0.660456255621745,"16",49732224,"R","I","ZNF423","Body","shore","Body-shore","chr16:49732348-49732712",NA,NA,"","","","UP"
"cg18085400",0.651052694399278,0.371907648478131,44.9422115548602,1.91325979825609e-148,1.35913030226457e-147,328.895163414859,0.0631226562773308,0.714175350676609,0.651052694399278,"4",2794637,"F","I","SH3BP2","TSS200","island","TSS200-island","chr4:2794494-2794875",NA,NA,"","","","UP"
"cg26007189",0.680211043804777,0.459313833960192,44.9225322965661,2.18349194455013e-148,1.54977839462802e-147,328.762889003794,0.136699453184213,0.816910496988989,0.680211043804776,"5",176166980,"F","I","","IGR","shelf","IGR-shelf","chr5:176170244-176170796",NA,NA,"","","","UP"
"cg08731559",0.652601393234405,0.412041375744561,45.0764687517888,2.24457912884772e-148,1.59178387456654e-147,328.743039670456,NA,0.753344403240715,NA,"7",126890973,"R","II","GRM8","5'UTR","shore","5'UTR-shore","chr7:126891300-126894205",NA,NA,"","","","UP"
"cg03954667",0.624230680010053,0.434883216021802,45.3946132308646,2.3299667438207e-148,1.64953747270153e-147,328.721409882633,NA,0.757886300445608,NA,"12",11806065,"R","II","ETV6","Body","shelf","Body-shelf","chr12:11801853-11802218",NA,NA,"","","","UP"
"cg09484039",0.532015579381052,0.309188832581764,44.9162110346803,2.27816863527489e-148,1.61423416277239e-147,328.720391907079,0.0568614435038936,0.588877022884946,0.532015579381052,"2",183731310,"R","I","FRZB","5'UTR","island","5'UTR-island","chr2:183730808-183731357",TRUE,TRUE,"","","","UP"
"cg13487666",0.661628632830419,0.431452686182561,44.90963555088,2.38102220831331e-148,1.68425567555033e-147,328.676181244292,0.117651677468705,0.779280310299124,0.661628632830419,"9",127021157,"R","I","NEK6","5'UTR","shore","5'UTR-shore","chr9:127020249-127020741",TRUE,NA,"","","","UP"
"cg05896042",0.64953045467063,0.353574737980636,44.8903761048958,2.70985148474536e-148,1.91523682771258e-147,328.546663007737,0.0455117223368514,0.695042177007482,0.64953045467063,"19",11450090,"R","I","RAB3D","5'UTR","island","5'UTR-island","chr19:11450016-11450414",NA,TRUE,"","","","UP"
"cg22471255",0.56928951509358,0.291828848268507,44.8810617680079,2.8848455260742e-148,2.03719353548807e-147,328.484010824791,0.0218229639669802,0.59111247906056,0.56928951509358,"22",42315642,"R","I","","IGR","island","IGR-island","chr22:42315502-42316409",TRUE,NA,"","","","UP"
"cg00661399",0.556594214781164,0.597535165137827,44.9551973655577,2.9717872767676e-148,2.09681679984092e-147,328.458162885962,NA,0.889388292086116,NA,"6",32049177,"F","I","TNXB","Body","shelf","Body-shelf","chr6:32046815-32047094",TRUE,TRUE,"","rs55800491","rs61735731","UP"
"cg07095997",0.661873989306001,0.378564149796063,44.8546008824878,3.44628256646635e-148,2.42955650297552e-147,328.305973823527,0.0646467720109313,0.726520761316932,0.661873989306001,"14",61188431,"R","I","SIX4","Body","island","Body-island","chr14:61188116-61190772",NA,NA,"","","","UP"
"cg09339159",0.617056054365088,0.323628038076119,44.8445145458143,3.6880526970195e-148,2.59780710209957e-147,328.238090418376,0.0309671665772481,0.648023220942337,0.617056054365088,"2",232260559,"R","I","B3GNT7","Body","island","Body-island","chr2:232260100-232261134",NA,NA,"","","","UP"
"cg17654091",0.622719025350936,0.430520637577823,44.9221231196499,3.70859438315243e-148,2.61007560883365e-147,328.236408989091,NA,0.757046659466709,NA,"19",41073716,"R","II","SPTBN4","Body","island","Body-island","chr19:41073494-41074151",NA,TRUE,"","","","UP"
"cg07035145",0.614392742359489,0.319562722331345,44.7934630177257,5.19887235692121e-148,3.6558400395387e-147,327.894337156668,0.028165021669416,0.642557764028905,0.614392742359489,"14",51410689,"R","I","PYGL","Body","island","Body-island","chr14:51410614-51411464",NA,NA,"","","","UP"
"cg24317647",0.645064407019692,0.462599316263062,44.9174021146496,6.48965791617512e-148,4.5596805913984e-147,327.680078881226,NA,0.799960586600948,NA,"15",85523201,"R","I","","IGR","shore","IGR-shore","chr15:85523512-85525865",NA,NA,"","","","UP"
"cg21159778",0.492402388705009,0.295749294267188,44.7453536691825,7.18681823452574e-148,5.04526718749815e-147,327.570143250946,0.0622098756242412,0.554612264329249,0.492402388705008,"9",117266918,"R","I","DFNB31","TSS1500","island","TSS1500-island","chr9:117266468-117268094",NA,NA,"","","","UP"
"cg12992720",0.620911054936419,0.488649366644039,44.712128891714,8.98912014778049e-148,6.30521492145745e-147,327.346109127597,0.194160123445623,0.815071178382042,0.620911054936419,"19",19738592,"R","II","LPAR2","5'UTR","island","5'UTR-island","chr19:19738572-19739821",NA,TRUE,"","","","UP"
"cg25179470",0.587750195937892,0.29828657503328,44.7108320644078,9.06799670687588e-148,6.35520507460076e-147,327.337362277045,0.0195250535313084,0.6072752494692,0.587750195937892,"10",102756915,"R","I","LZTS2","TSS200","island","TSS200-island","chr10:102756834-102759798",NA,NA,"high-CpG:102746819-102746917","","","UP"
"cg23066280",0.723216462125657,0.42448750047327,44.8634627842839,9.30758139028816e-148,6.51218885548302e-147,327.319027565277,NA,0.802721397332091,NA,"7",158032496,"F","I","PTPRN2","Body","opensea","Body-opensea","",NA,NA,"","rs7792381","","UP"
"cg14633426",0.527557917603963,0.289483078099852,44.7073230934789,9.28491744628911e-148,6.50177706171829e-147,327.313694052282,0.039269894321972,0.566827811925935,0.527557917603963,"1",159894721,"F","II","TAGLN2","5'UTR","island","5'UTR-island","chr1:159894329-159895398",NA,NA,"","","","UP"
"cg10952190",0.60093957672145,0.380159369695157,44.6966994120289,9.97389274092439e-148,6.97254392951317e-147,327.242028731027,0.0951423133072694,0.696081890028719,0.60093957672145,"1",214725873,"R","II","PTPN14","TSS1500","shore","TSS1500-shore","chr1:214724104-214725056",NA,NA,"","","","UP"
"cg03572859",0.662248885851872,0.398436849555724,44.7733158365701,1.00602811612542e-147,7.02705592149816e-147,327.23727309597,NA,0.745690563340517,NA,"8",22409634,"F","II","SORBS3","5'UTR","island","5'UTR-island","chr8:22408672-22409635",TRUE,NA,"","","","UP"
"cg01076971",0.654188200627484,0.382767685979358,44.6817832515822,1.1028604644906e-147,7.6969894071466e-147,327.141387026807,0.0724955679674655,0.72668376859495,0.654188200627485,"8",97657803,"R","I","PGCP","5'UTR","island","5'UTR-island","chr8:97657174-97657943",NA,TRUE,"","","","UP"
"cg25158147",0.667307142651961,0.42528525355859,44.7491206408783,1.18351576622979e-147,8.25299725466082e-147,327.074598995033,NA,0.775191291109619,NA,"10",54073150,"F","II","DKK1","TSS1500","shore","TSS1500-shore","chr10:54073989-54074827",NA,NA,"","","","UP"
"cg17131435",0.656746575756489,0.334293099097172,44.6631829944201,1.25018175636691e-147,8.71060750015779e-147,327.015855166008,0.0228075803098086,0.679554156066298,0.656746575756489,"7",150065182,"F","I","REPIN1","TSS1500","island","TSS1500-island","chr7:150065169-150066351",NA,NA,"low-CpG:149696075-149696266","","","UP"
"cg03226958",0.606242314880713,0.387585904773372,44.6252429552436,1.61470236092128e-147,1.12410196026137e-146,326.759686932605,0.100053835429949,0.706296150310661,0.606242314880713,"1",26736601,"F","II","LIN28","TSS1500","shore","TSS1500-shore","chr1:26737246-26738148",TRUE,NA,"","","","UP"
"cg04569837",0.709148945390537,0.470808195911196,44.6156318977524,1.72286783344045e-147,1.1984044863082e-146,326.69476961555,0.134468981811684,0.843617927202222,0.709148945390538,"5",60921535,"R","II","","IGR","island","IGR-island","chr5:60921534-60922472",TRUE,TRUE,"","","","UP"
"cg18976765",0.609282414354275,0.340839388405809,44.6127746385757,1.75640343191886e-147,1.22071499752497e-146,326.675468541453,0.0518654433120673,0.661147857666342,0.609282414354274,"13",101240690,"R","II","","IGR","island","IGR-island","chr13:101240689-101241226",NA,NA,"","","","UP"
"cg07873178",0.532032579999426,0.328735881078817,44.575541841762,2.25817570788931e-147,1.56784636798657e-146,326.423878163298,0.0764004288505178,0.608433008849944,0.532032579999426,"11",65307616,"R","I","LTBP3","Body","island","Body-island","chr11:65305935-65308502",NA,NA,"","","","UP"
"cg18261413",0.602554120881368,0.309051027535348,44.5754470968443,2.25962057344485e-147,1.56784636798657e-146,326.423237763175,0.023268215917327,0.625822336798696,0.602554120881369,"2",37551024,"F","I","","IGR","shore","IGR-shore","chr2:37551350-37552546",NA,NA,"","","","UP"
"cg12811319",0.636868502250834,0.442270278759949,45.1125396231998,2.55112002903972e-147,1.7671688824708e-146,326.329387428343,NA,NA,NA,"8",77585748,"F","II","LOC100192378","Body","opensea","Body-opensea","",NA,TRUE,"","","","UP"
"cg13668544",0.653595044220387,0.432999327605772,44.5611870123415,2.48799973469475e-147,1.72487550071701e-146,326.326840106829,0.123008535204103,0.77660357942449,0.653595044220387,"9",132646821,"R","I","","IGR","shore","IGR-shore","chr9:132648043-132648284",NA,NA,"","","","UP"
"cg12017911",0.595736207104719,0.376638149783757,44.5505902302733,2.67257128045166e-147,1.84976474539297e-146,326.255192276487,0.0940889772712334,0.689825184375952,0.595736207104719,"15",74421887,"R","I","ISLR2","5'UTR","island","5'UTR-island","chr15:74419870-74423044",NA,NA,"","","","UP"
"cg19936912",0.558542102272641,0.336773902223059,44.5483628271159,2.71308021169509e-147,1.87624768944543e-146,326.240130661078,0.0718653622880348,0.630407464560676,0.558542102272641,"4",152330012,"F","II","FAM160A1","TSS1500","island","TSS1500-island","chr4:152329824-152330873",NA,NA,"","rs73861286","","UP"
"cg08540953",0.549104887585176,0.329027651400042,44.5247993716328,3.18120793077513e-147,2.19816468599631e-146,326.080763234199,0.0685950475739298,0.617699935159106,0.549104887585176,"7",100815796,"R","I","C7orf52","Body","island","Body-island","chr7:100815484-100816995",TRUE,TRUE,"","","","UP"
"cg26116950",0.658535063420057,0.414296584552591,44.5189141258623,3.31025853323187e-147,2.28544626335695e-146,326.04095017886,0.101962811616221,0.760497875036277,0.658535063420056,"12",41582017,"R","I","PDZRN4","TSS1500","shore","TSS1500-shore","chr12:41582155-41582975",NA,NA,"","","","UP"
"cg18992706",0.632816766552695,0.380285646605587,44.5171598854417,3.34973092127053e-147,2.31078877921503e-146,326.029082219667,0.0801496944691654,0.712966461021861,0.632816766552696,"13",44453352,"F","I","CCDC122","5'UTR","island","5'UTR-island","chr13:44453207-44454295",NA,NA,"","","","UP"
"cg11343894",0.612727229177364,0.469952513121489,44.5929032264346,3.38390264743125e-147,2.33243586770963e-146,326.022798287782,NA,0.791239283721654,NA,"1",153599704,"F","I","S100A13","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","","","UP"
"cg23370306",0.61079035686908,0.403184311374062,44.46194567924,4.86535281806325e-147,3.35079616175601e-146,325.655374655805,0.113495170687584,0.724285527556664,0.61079035686908,"2",242823485,"R","I","","IGR","island","IGR-island","chr2:242823446-242823970",NA,TRUE,"","","","UP"
"cg06599209",0.614307634890233,0.412476163081106,44.4515841846382,5.21855759001292e-147,3.59108979464316e-146,325.585208624162,0.121118827676024,0.735426462566258,0.614307634890234,"2",1746509,"F","I","PXDN","Body","shore","Body-shore","chr2:1746833-1748971",TRUE,NA,"","","","UP"
"cg13249593",0.596359478290412,0.389318147038993,44.4338121036715,5.885267353245e-147,4.0465451414822e-146,325.464832963854,0.106473365906969,0.702832844197382,0.596359478290413,"17",39705234,"F","I","","IGR","island","IGR-island","chr17:39705045-39705332",NA,TRUE,"","","","UP"
"cg11027570",0.567056797341213,0.348779718895631,44.4191414263195,6.49951151481725e-147,4.46520717062363e-146,325.365438739418,0.0798327807280846,0.646889578069297,0.567056797341213,"3",139258431,"R","II","RBP1","1stExon","island","1stExon-island","chr3:139258152-139258731",TRUE,NA,"","","","UP"
"cg15728861",0.703604335594,0.375909775732663,44.7966013089909,7.09807481519749e-147,4.86841683137601e-146,325.297540149748,NA,NA,NA,"13",46961008,"F","I","C13orf18","5'UTR","island","5'UTR-island","chr13:46960684-46961670",NA,NA,"","rs17068102","","UP"
"cg27344587",0.626078659947071,0.404695429134487,44.4064629939207,7.08187689164626e-147,4.86129823770032e-146,325.27952358542,0.107755264702447,0.733833924649518,0.626078659947071,"2",63275602,"F","I","LOC100132215","TSS1500","island","TSS1500-island","chr2:63274475-63279430",NA,NA,"","rs72890535","","UP"
"cg17842918",0.578828044040542,0.413596126051543,44.4815377202713,7.16723181525203e-147,4.91181743926296e-146,325.271405913663,NA,0.717107679230394,NA,"13",113540400,"F","I","ATP11A","3'UTR","island","3'UTR-island","chr13:113540350-113540558",NA,TRUE,"","rs3742238","","UP"
"cg10416963",0.667961384834153,0.443406595512628,44.4591128241513,8.3377971810406e-147,5.70934079101747e-146,325.1199442252,NA,0.793655688419935,NA,"4",121844401,"R","II","PRDM5","TSS1500","shore","TSS1500-shore","chr4:121843148-121844193",TRUE,NA,"","","","UP"
"cg04135106",0.611340634086204,0.399184577558382,44.374895417456,8.76944228555346e-147,5.99999351789628e-146,325.065532192569,0.109234448248926,0.720575082335129,0.611340634086204,"16",89104209,"R","I","","IGR","opensea","IGR-opensea","",TRUE,NA,"","","","UP"
"cg05157725",0.586716007502769,0.362268766614145,44.4491944664944,8.91491581383693e-147,6.09453410055595e-146,325.052936872375,NA,0.669916415247403,NA,"6",56112484,"F","II","COL21A1","TSS200","shore","TSS200-shore","chr6:56112188-56112444",NA,NA,"","rs79965548","","UP"
"cg02323633",0.559268316214578,0.323462363868528,44.4326129835851,9.97056284950613e-147,6.81063630783109e-146,324.940890840265,NA,0.616717670078464,NA,"5",73937762,"R","II","ENC1","TSS1500","shore","TSS1500-shore","chr5:73935725-73937551",NA,NA,"","","","UP"
"cg02874031",0.659263948083668,0.53094295643946,44.7958752196635,1.21188822220107e-146,8.27133513747364e-146,324.765164812532,NA,0.872073720273451,NA,"12",106988340,"R","II","RFX4","Body","opensea","Body-opensea","",NA,NA,"","","","UP"
"cg06530961",0.509098901327452,0.298061271492028,44.303061737895,1.42681712989025e-146,9.73031045151279e-146,324.578187997093,0.0566029354338648,0.565701836761317,0.509098901327452,"18",12038718,"R","I","","IGR","island","IGR-island","chr18:12038413-12039359",NA,NA,"","","","UP"
"cg08210474",0.610010509178981,0.350090883796726,44.375330407426,1.46797793997908e-146,1.00028447884056e-145,324.55359063107,NA,0.669953127864788,NA,"8",97657381,"R","I","PGCP","TSS200","island","TSS200-island","chr8:97657174-97657943",NA,TRUE,"","","","UP"
"cg06512885",0.64054951585571,0.333081427326564,44.2822218133106,1.64339459701857e-146,1.11890126026839e-145,324.436699901556,0.0292779426635707,0.66982745851928,0.64054951585571,"19",50922190,"R","I","SPIB","TSS200","opensea","TSS200-opensea","",NA,TRUE,"","","","UP"
"cg05415840",0.560789659877753,0.600099244908609,44.3519667720253,1.71903374860306e-146,1.16944690031189e-145,324.395523759765,NA,0.894152275732761,NA,"8",143694305,"R","II","ARC","1stExon","shore","1stExon-shore","chr8:143694430-143696166",NA,NA,"","","","UP"
"cg00333483",0.609104329127985,0.484220189282968,44.2744238720527,1.73265436849114e-146,1.17775383192636e-145,324.383745579421,0.195330707467981,0.804435036595966,0.609104329127985,"17",79504180,"F","II","","IGR","island","IGR-island","chr17:79503586-79504181",NA,TRUE,"","","","UP"
"cg05745631",0.633649471610603,0.55772189415488,44.2687842112671,1.80022261118827e-146,1.22268777998917e-145,324.34544368265,0.25719100190528,0.890840473515883,0.633649471610603,"6",30095178,"R","I","","IGR","island","IGR-island","chr6:30095173-30095610",NA,NA,"","","","UP"
"cg19319487",0.628814325624528,0.542569628091403,44.7121953900518,2.11152559739919e-146,1.43295571410827e-145,324.209262156168,NA,0.867944482629677,NA,"11",73232747,"F","II","FAM168A","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","","","UP"
"cg12869912",0.621861266738957,0.43238630699415,44.2363814359869,2.24291250691652e-146,1.52088401645947e-145,324.12531364264,0.137446391912244,0.759307658651202,0.621861266738958,"20",58152803,"F","I","","IGR","island","IGR-island","chr20:58152280-58152847",NA,NA,"","","","UP"
"cg01773059",0.60978210726487,0.350835421107278,44.2285972480789,2.36460390389391e-146,1.60210064988887e-145,324.072414633211,0.0616244788045116,0.671406586069382,0.60978210726487,"14",64761203,"F","I","ESR2","TSS200","island","TSS200-island","chr14:64760859-64761241",NA,TRUE,"","rs34404086","","UP"
"cg05375230",0.608713877026985,0.376967667933332,44.1817190667045,3.25090476054024e-146,2.20081510288113e-145,323.753707673923,0.0882633719719624,0.696977248998947,0.608713877026984,"11",64511786,"F","II","RASGRP2","TSS200","island","TSS200-island","chr11:64509433-64513826",NA,NA,"high-CpG:64268126-64269211","","","UP"
"cg09444392",0.715012425966924,0.402818459025542,45.2090981624064,3.48447399358438e-146,2.35702799533635e-145,323.737128484714,NA,NA,NA,"5",179781245,"F","I","GFPT2","TSS1500","island","TSS1500-island","chr5:179779114-179781279",NA,NA,"","rs34264498","","UP"
"cg16016176",0.558753850825334,0.30959982887927,44.1640336508891,3.66594346919092e-146,2.4777744127525e-145,323.633410220639,0.0445908596306831,0.603344710456017,0.558753850825334,"3",119298513,"R","I","ADPRH","TSS200","island","TSS200-island","chr3:119298284-119298983",NA,TRUE,"high-CpG:120781045-120781299","","","UP"
"cg02629106",0.700278341226888,0.476651628617982,44.1536818002002,3.93310944392145e-146,2.65620018549069e-145,323.562980677832,0.144519615350372,0.844797956577261,0.700278341226888,"2",120302419,"R","I","PCDP1","5'UTR","island","5'UTR-island","chr2:120301702-120302455",TRUE,NA,"","","","UP"
"cg24569257",0.644727952283057,0.563490535101827,44.359774805105,4.60822651203443e-146,3.10962231676378e-145,323.416053849684,NA,0.899789553439676,NA,"5",155105708,"F","II","","IGR","shore","IGR-shore","chr5:155107504-155108934",NA,NA,"","","","UP"
"cg00331237",0.568248485085568,0.314712744547167,44.1996307848349,4.81903016738742e-146,3.24924762052901e-145,323.363468366747,NA,0.612676849907221,NA,"12",77273319,"R","II","CSRP2","TSS1500","shore","TSS1500-shore","chr12:77272632-77273216",NA,NA,"","","","UP"
