"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","GBM_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg04079248",-0.39645181518221,0.28659430742881,-32.7993468881303,8.83954289628366e-120,3.16661841147314e-119,262.653165736586,0.456238805088175,0.0597869899059643,-0.39645181518221,"7",12726310,"R","I","ARL4A","TSS200","island","TSS200-island","chr7:12726156-12727248",NA,NA,"high-CpG:12692699-12693144","","","DOWN"
"cg14399078",-0.489633096881177,0.351800639783961,-32.7891026191705,9.7397690118372e-120,3.48761381589747e-119,262.55611127448,0.561318057984279,0.0716849611031017,-0.489633096881177,"3",119298802,"R","II","ADPRH","5'UTR","island","5'UTR-island","chr3:119298284-119298983",NA,TRUE,"","","","DOWN"
"cg01910484",-0.471465748462316,0.293134957341878,-32.7813889719352,1.04777169048692e-119,3.75025051513612e-119,262.483023501846,0.494878440404822,0.0234126919425063,-0.471465748462316,"16",56642229,"F","I","MT2A","TSS1500","island","TSS1500-island","chr16:56642129-56642595",TRUE,NA,"","","","DOWN"
"cg26195683",-0.444622973829466,0.28751506835753,-32.781004503441,1.05159291614601e-119,3.76231572654552e-119,262.479380424078,0.477772340879906,0.0331493670504396,-0.444622973829467,"5",1667958,"R","I","","IGR","island","IGR-island","chr5:1667187-1668081",TRUE,TRUE,"","","","DOWN"
"cg26007189",-0.619039147690959,0.490847430700436,-32.7798287868563,1.06336514906248e-119,3.80280498941266e-119,262.468239666889,0.755738600875173,0.136699453184213,-0.61903914769096,"5",176166980,"F","I","","IGR","shelf","IGR-shelf","chr5:176170244-176170796",NA,NA,"","","","DOWN"
"cg05106770",-0.600333130641281,0.464689670952635,-36.6123796051715,1.80568929483618e-119,6.44096002094854e-119,262.256720142763,NA,NA,NA,"4",128545193,"R","II","","IGR","shore","IGR-shore","chr4:128544031-128544903",TRUE,NA,"","","","DOWN"
"cg11558551",-0.505387222676637,0.420057869544616,-32.7836858618217,1.33876937644904e-119,4.78360965391587e-119,262.240845106133,0.635642628868216,NA,NA,"19",17516442,"F","II","BST2","TSS200","opensea","TSS200-opensea","",TRUE,TRUE,"low-CpG:17377428-17377443","","","DOWN"
"cg04079139",-0.502510208158347,0.371704746403558,-32.7555464093496,1.33829745139212e-119,4.78360965391587e-119,262.238108885303,0.586732370359688,0.0842221622013411,-0.502510208158347,"1",26735245,"R","II","","IGR","shelf","IGR-shelf","chr1:26737246-26738148",TRUE,NA,"","","","DOWN"
"cg21270847",-0.611996435334783,0.559109596882896,-32.7353581101605,1.62034830360667e-119,5.78725512113301e-119,262.046723850832,0.820987141305223,0.208990705970438,-0.611996435334785,"1",164604806,"R","I","PBX1","Body","opensea","Body-opensea","",NA,TRUE,"","","","DOWN"
"cg09904383",-0.509792520340087,0.348570938024835,-32.732414752889,1.6661700298483e-119,5.94836941425328e-119,262.018816663019,0.566714714170361,0.0569221938302737,-0.509792520340087,"5",141031125,"R","I","FCHSD1","TSS200","island","TSS200-island","chr5:141030918-141031177",NA,NA,"","","","DOWN"
"cg13306893",-0.523763221054655,0.419269353690264,-32.7557157715135,1.74402312832232e-119,6.2236519495962e-119,261.976203972292,0.642692825608684,NA,NA,"11",66024688,"R","II","KLC2","TSS1500","shore","TSS1500-shore","chr11:66024910-66026253",NA,NA,"","","","DOWN"
"cg23545105",-0.599572307876966,0.598152445639052,-32.7236469117069,1.81050117773547e-119,6.45536783559628e-119,261.935678850598,0.854713619242219,0.255141311365252,-0.599572307876968,"4",48908833,"F","I","OCIAD2","TSS200","island","TSS200-island","chr4:48908292-48908850",TRUE,NA,"","","","DOWN"
"cg00299943",-0.520805694871166,0.395309638518146,-32.7235744368266,1.81174495818776e-119,6.4570466641214e-119,261.934991595137,0.618166028881622,0.0973603340104556,-0.520805694871167,"22",41613692,"R","I","L3MBTL2","Body","opensea","Body-opensea","",TRUE,NA,"","","rs71327122","DOWN"
"cg04231340",-0.532971139857653,0.365270738800818,-32.7194382837613,1.88416393230003e-119,6.71228379123004e-119,261.895768750468,0.59333280794921,0.0603616680915565,-0.532971139857653,"16",50501845,"R","II","","IGR","island","IGR-island","chr16:50501844-50502307",TRUE,NA,"","","","DOWN"
"cg19130610",-0.540472071890181,0.717464829362923,-32.7102535312709,2.05551290044263e-119,7.31958856363928e-119,261.808662912047,0.948736599660117,0.408264527769934,-0.540472071890183,"7",156190025,"F","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg13372456",-0.63967034872751,0.530277816810825,-32.7101839596229,2.05686864905486e-119,7.32129556634184e-119,261.808003072983,0.803997221847713,0.164326873120202,-0.639670348727511,"5",153569246,"F","I","GALNT10","TSS1500","shore","TSS1500-shore","chr5:153569545-153570538",NA,NA,"","","","DOWN"
"cg11401866",-0.404398070851925,0.260058094048732,-32.7233234972844,2.36923692367973e-119,8.42955931023019e-119,261.669047316432,NA,0.0291081468256046,NA,"7",75932851,"R","I","HSPB1","Body","island","Body-island","chr7:75931704-75932978",NA,NA,"","","","DOWN"
"cg18204321",-0.486511762582947,0.357480089355923,-32.6860771051492,2.5849023916691e-119,9.19296491273037e-119,261.579330548733,0.565661866833277,0.0791501042503293,-0.486511762582948,"18",3453798,"R","II","TGIF1","5'UTR","shore","5'UTR-shore","chr18:3448006-3452360",NA,NA,"","","rs11571511","DOWN"
"cg09642408",-0.608771273831513,0.658613114755167,-32.684808415928,2.61618020096679e-119,9.30024229739429e-119,261.567294062208,0.919110590069117,0.310339316237602,-0.608771273831515,"15",101208028,"F","I","","IGR","opensea","IGR-opensea","",NA,TRUE,"","","","DOWN"
"cg09101796",-0.562100718306772,0.344686037878064,-32.6766236794825,2.82727654305195e-119,1.00463922759064e-118,261.489637950345,0.58521285687445,0.023112138567678,-0.562100718306772,"12",52400667,"F","I","GRASP","TSS200","island","TSS200-island","chr12:52400467-52401696",TRUE,NA,"","","","DOWN"
"cg04241308",-0.539496488974638,0.327337533605452,-32.6954407311504,3.08450871277405e-119,1.09557762697765e-118,261.405581345109,0.557472399531696,NA,NA,"4",183838090,"F","I","DCTD","5'UTR","island","5'UTR-island","chr4:183838036-183839286",TRUE,NA,"","rs4371655","","DOWN"
"cg12403137",-0.465798068024997,0.328747198358524,-32.6584016372805,3.36054957870519e-119,1.19311649725895e-118,261.316719282676,0.528065441420383,0.0622673733953857,-0.465798068024997,"11",89867809,"F","I","NAALAD2","TSS200","opensea","TSS200-opensea","",NA,NA,"","","","DOWN"
"cg09746031",-0.496532369547069,0.357768275145558,-32.7138097390475,3.38350419804859e-119,1.20075590783764e-118,261.315528129415,NA,NA,NA,"17",40336180,"R","I","HCRT","Body","island","Body-island","chr17:40335946-40336609",TRUE,TRUE,"","","","DOWN"
"cg18352616",-0.493414545893124,0.388300030531958,-32.6443665652012,3.83903065187666e-119,1.36183703039395e-118,261.183505333771,0.59943555714669,0.106021011253565,-0.493414545893125,"4",3374830,"R","I","RGS12","Body","island","Body-island","chr4:3374733-3374998",NA,NA,"","rs13138503","","DOWN"
"cg00677217",-0.53968100160968,0.400829238569379,-32.6443159422237,3.84087450611524e-119,1.36191280238059e-118,261.18302480198,0.631762504374452,0.0920815027647712,-0.539681001609681,"4",3747401,"F","I","","IGR","shore","IGR-shore","chr4:3748224-3748581",NA,TRUE,"","","","DOWN"
"cg06750897",-0.53039397965141,0.563118208425702,-32.644195577389,3.84526214835889e-119,1.3628901140174e-118,261.181882253752,0.790077492741655,0.259683513090243,-0.530393979651412,"1",164545553,"F","I","PBX1","Body","island","Body-island","chr1:164545540-164545917",NA,NA,"","","","DOWN"
"cg14429919",-0.571878610842769,0.566907761771306,-32.6944996131677,4.06062226859916e-119,1.43861062052067e-118,261.132967436832,NA,NA,NA,"6",3054820,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg12045337",-0.518600910495014,0.346328241898758,-32.6262209001788,4.56016065353108e-119,1.61490386178884e-118,261.011239992256,0.568241189645462,0.0496402791504473,-0.518600910495015,"2",171572714,"R","I","SP5","Body","island","Body-island","chr2:171569877-171573904",NA,NA,"high-CpG:171280944-171281110","","","DOWN"
"cg19498237",-0.500716284653642,0.316913750971759,-32.6228539923698,4.7081840909978e-119,1.66661736848286e-118,260.979271926217,0.53117374254448,0.0304574578908377,-0.500716284653642,"3",49314655,"F","I","USP4","3'UTR","island","3'UTR-island","chr3:49314437-49314815",TRUE,TRUE,"","","","DOWN"
"cg02976588",-0.54432980469675,0.595140833658525,-32.6736150113871,4.9465295138e-119,1.7502459787499e-118,260.936036976922,0.826608180515555,NA,NA,"1",150135546,"F","II","","IGR","opensea","IGR-opensea","",NA,TRUE,"","rs67498625","","DOWN"
"cg04824711",-0.472790072426867,0.358090336079908,-32.6633280879796,5.4516190136722e-119,1.92814670788389e-118,260.838738069828,0.55913658183152,NA,NA,"10",89621740,"R","II","PTEN","TSS1500","shore","TSS1500-shore","chr10:89621772-89624128",TRUE,NA,"","","","DOWN"
"cg00379648",-0.516731848273135,0.423036440936317,-32.6060239506404,5.523449630797e-119,1.95272527362159e-118,260.819453535254,0.644149603918309,0.127417755645174,-0.516731848273135,"12",106979451,"R","I","RFX4","Body","island","Body-island","chr12:106979429-106981086",NA,TRUE,"","","","DOWN"
"cg12349350",-0.554517363507102,0.55848925819565,-32.6324343860609,5.60077075074918e-119,1.97922330168184e-118,260.80862618095,0.795031630041337,NA,NA,"7",101723836,"F","II","CUX1","Body","opensea","Body-opensea","",NA,NA,"","","","DOWN"
"cg18443253",0.480729048427756,0.241529813072193,32.5872977002778,6.59780329807533e-119,2.33057288592479e-118,260.641588051749,0.0358224993263639,0.516551547754117,0.480729048427753,"14",38678420,"R","I","SSTR1","5'UTR","island","5'UTR-island","chr14:38678245-38680937",TRUE,NA,"high-CpG:37748031-37748756","","","UP"
"cg20693580",-0.50645897247989,0.317618500620937,-32.5820873885732,6.93233279056473e-119,2.44770533103879e-118,260.592091907137,0.534335828379774,0.027876855899883,-0.506458972479891,"12",42326382,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","rs4306331","","DOWN"
"cg08718050",-0.587292254986158,0.523688223270561,-32.6374388209447,9.08295765919724e-119,3.20570461702297e-118,260.330406076014,NA,NA,NA,"11",70563677,"F","I","SHANK2","Body","island","Body-island","chr11:70563664-70563886",NA,NA,"","","","DOWN"
"cg21555796",-0.587311645111706,0.508512602893405,-32.5797245035124,9.22860493524522e-119,3.25435903879437e-118,260.308852212524,0.759044143815182,NA,NA,"11",75141793,"F","I","KLHL35","TSS200","island","TSS200-island","chr11:75140737-75141849",NA,NA,"","","","DOWN"
"cg04212922",-0.556395858640543,0.535249738640091,-32.5522227616229,9.20507164268346e-119,3.24743110232169e-118,260.308324431227,0.773335408383952,0.216939549743407,-0.556395858640545,"4",141173867,"R","I","","IGR","island","IGR-island","chr4:141173834-141174567",NA,TRUE,"","","","DOWN"
"cg00675569",-0.610188844969855,0.403386820496515,-32.5622069489788,1.08955508833328e-118,3.84056675440348e-118,260.142682630781,0.663677166952187,NA,NA,"10",45914840,"R","I","ALOX5","Body","island","Body-island","chr10:45914374-45914883",TRUE,TRUE,"","","","DOWN"
"cg12044889",-0.433103967054313,0.295133976769096,-32.5237381640965,1.20650314267161e-118,4.25100263765443e-118,260.03756830458,0.48046218592722,0.0473582188729073,-0.433103967054313,"6",3000430,"R","II","NQO2","5'UTR","island","5'UTR-island","chr6:3000069-3000520",NA,NA,"","","","DOWN"
"cg24579851",-0.474281866263211,0.708099557261503,-32.5223701243176,1.22228594121722e-118,4.30479627020602e-118,260.024562114104,0.911048076778785,0.436766210515572,-0.474281866263212,"5",159602480,"F","I","","IGR","opensea","IGR-opensea","",NA,TRUE,"","rs11954481","","DOWN"
"cg06059056",-0.495340536740101,0.498490524392879,-32.5130799076152,1.3350751169973e-118,4.70004952692602e-118,259.936232381548,0.710450195928179,0.215109659188076,-0.495340536740103,"3",13008969,"R","I","IQSEC1","Body","island","Body-island","chr3:13008648-13009210",NA,NA,"","","","DOWN"
"cg24159247",-0.517069068559124,0.483295982153135,-32.5083360238872,1.39663034113323e-118,4.91467981037365e-118,259.89112431733,0.704553444048202,0.187484375489077,-0.517069068559125,"3",4575483,"F","I","ITPR1","Body","opensea","Body-opensea","",NA,TRUE,"","","rs78308656","DOWN"
"cg10353539",-0.452453347184485,0.3927060294317,-32.4964583323308,1.56350883614045e-118,5.49960118615466e-118,259.778171134156,0.586313973343201,0.133860626158715,-0.452453347184486,"11",113185349,"R","I","TTC12","5'UTR","island","5'UTR-island","chr11:113185332-113185663",NA,NA,"high-CpG:112690514-112690792","","","DOWN"
"cg08345575",-0.500014182284162,0.320497817520962,-32.4930592580665,1.61484034684066e-118,5.67776778514599e-118,259.745843821151,0.534457374591394,0.0344431923072317,-0.500014182284162,"16",4524283,"R","I","NMRAL1","5'UTR","island","5'UTR-island","chr16:4524138-4524712",NA,NA,"","","","DOWN"
"cg06585203",-0.533173418656671,0.458564831270823,-32.6288783322093,1.67799713322831e-118,5.89734457340736e-118,259.723013736807,0.683124929952104,NA,NA,"6",159238500,"F","II","EZR","Body","shore","Body-shore","chr6:159239081-159240775",NA,NA,"","","rs78502215","DOWN"
"cg16484943",-0.575101169942299,0.409737005386488,-32.791215426197,1.8589921965861e-118,6.53070681677051e-118,259.638379185125,NA,NA,NA,"11",63382065,"F","I","PLA2G16","TSS200","island","TSS200-island","chr11:63381143-63382096",TRUE,NA,"","","rs12277033","DOWN"
"cg14914822",-0.54854934377407,0.353672803692778,-32.4769483412505,1.88206105865079e-118,6.60896935013396e-118,259.592599813494,0.588400894982148,0.0398515512080774,-0.54854934377407,"18",55713183,"F","I","NEDD4L","Body","shore","Body-shore","chr18:55710828-55712532",NA,NA,"","","","DOWN"
"cg05375230",-0.531073623840811,0.392086887006473,-32.4752447212742,1.91278814683785e-118,6.71404713390058e-118,259.576393451675,0.619336995812774,0.0882633719719624,-0.531073623840811,"11",64511786,"F","II","RASGRP2","TSS200","island","TSS200-island","chr11:64509433-64513826",NA,NA,"high-CpG:64268126-64269211","","","DOWN"
"cg17029019",-0.556079813130202,0.616656573509844,-32.4621623569533,2.16611124801994e-118,7.60003921291836e-118,259.451930478995,0.854607005174861,0.298527192044657,-0.556079813130203,"17",1959124,"R","I","HIC1","TSS1500","island","TSS1500-island","chr17:1952919-1962328",NA,NA,"","","","DOWN"
"cg10113101",-0.493264540662416,0.350317846857059,-32.4762449673203,2.46239828709289e-118,8.63596779612678e-118,259.326713855267,0.560731392174593,NA,NA,"7",30029743,"F","I","SCRN1","TSS1500","island","TSS1500-island","chr7:30028518-30029822",TRUE,NA,"","","","DOWN"
"cg21282539",-0.543363864708366,0.391894874126369,-32.4451447788362,2.5465707875401e-118,8.92742440583719e-118,259.289997475745,0.624404062745763,0.0810401980373968,-0.543363864708366,"7",129464704,"F","I","","IGR","shore","IGR-shore","chr7:129465404-129466144",NA,NA,"","","","DOWN"
"cg15832822",-0.569000449663732,0.511029018070424,-34.2117281093514,3.29913039675442e-118,1.1560795022855e-117,259.191905847377,NA,NA,NA,"15",45018591,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg07895149",-0.54917029354241,0.428377494997754,-32.4395851568612,3.48732836850407e-118,1.22151535389866e-117,258.978457253065,0.662638948886474,NA,NA,"10",105212283,"F","II","CALHM2","TSS200","island","TSS200-island","chr10:105211950-105212306",NA,NA,"","","","DOWN"
"cg22369786",-0.633058853027807,0.509277481021974,-32.6016562061557,3.69983192710303e-118,1.29540636710053e-117,258.935120299183,NA,NA,NA,"13",80911626,"R","I","SPRY2","Body","shore","Body-shore","chr13:80913157-80913461",NA,NA,"","","","DOWN"
"cg00674304",-0.516802958048485,0.378310111239492,-32.4248626679425,4.0105889590437e-118,1.40362212667998e-117,258.83855216736,0.598764519917518,NA,NA,"2",25391700,"R","I","POMC","TSS200","island","TSS200-island","chr2:25391072-25391875",NA,NA,"","","","DOWN"
"cg16535717",-0.531023440907543,0.334383036796339,-32.3948207553983,4.11018384856093e-118,1.43787587398987e-117,258.810926283887,0.561611671975381,0.030588231067838,-0.531023440907543,"14",97685158,"F","I","","IGR","island","IGR-island","chr14:97685059-97685946",NA,NA,"","","","DOWN"
"cg09502015",-0.577478784283061,0.428933535281575,-32.3915563648912,4.23986644637905e-118,1.48262219728131e-117,258.779839516758,0.676040735998048,0.0985619517149857,-0.577478784283062,"5",87441873,"F","II","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg05500015",-0.510932411113376,0.394748611923302,-32.3905395845783,4.28109038075151e-118,1.49641125693716e-117,258.770156460387,0.613380155283444,0.102447744170068,-0.510932411113377,"11",89867819,"F","II","NAALAD2","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","","","DOWN"
"cg16178603",-0.547113350720649,0.406831337655584,-32.3610979727313,5.66573752151557e-118,1.97957219802347e-117,258.489721992273,0.640944957498839,0.0938316067781892,-0.54711335072065,"2",66667101,"R","I","MEIS1","Body","opensea","Body-opensea","",NA,NA,"","","","DOWN"
"cg25258879",-0.506150898876323,0.480464560439834,-32.3506420192587,6.258770119731e-118,2.1858597650599e-117,258.390102561592,0.697050061354355,0.19089916247803,-0.506150898876325,"X",49022996,"R","I","MAGIX","3'UTR","island","3'UTR-island","chrX:49022407-49023072",TRUE,TRUE,"high-CpG:48909904-48909951","","","DOWN"
"cg23847109",-0.567010078713401,0.52589252984414,-32.3504477772019,6.27035592989008e-118,2.18899095020066e-117,258.388251788426,0.768520098409875,0.201510019696472,-0.567010078713402,"1",40783060,"F","I","COL9A2","TSS200","island","TSS200-island","chr1:40782220-40783145",NA,NA,"high-CpG:40555481-40555965","","","DOWN"
"cg02045669",-0.537322521889994,0.447716868089864,-32.469980180878,7.49580374238615e-118,2.61461145987031e-117,258.223394105286,NA,NA,NA,"4",87514906,"F","II","PTPN13","TSS1500","shore","TSS1500-shore","chr4:87515183-87515735",NA,NA,"","","rs72870619","DOWN"
"cg08702413",-0.52940558139959,0.372258043245061,-32.332410557139,7.44534821622795e-118,2.59809686709976e-117,258.216369931461,0.598794385053258,0.069388803653668,-0.52940558139959,"5",125931275,"F","I","ALDH7A1","TSS200","shore","TSS200-shore","chr5:125930601-125931049",NA,NA,"","rs78215820","","DOWN"
"cg20381798",-0.487185933518785,0.342799640712428,-32.3548569434535,7.79951836675677e-118,2.71941470934416e-117,258.1723816346,NA,0.0645699117797878,NA,"7",155597490,"F","I","SHH","Body","island","Body-island","chr7:155595692-155599414",NA,TRUE,"","rs73484046","","DOWN"
"cg08184792",-0.508424842222034,0.34858557612381,-32.3487543194781,8.26534346012279e-118,2.88062908910579e-117,258.114887681231,0.565466103225517,NA,NA,"12",48592270,"R","I","","IGR","island","IGR-island","chr12:48591977-48592785",TRUE,NA,"","","","DOWN"
"cg20994660",-0.55774341855062,0.596047440368029,-32.3016596842536,9.97917722845252e-118,3.47648234222237e-117,257.923244857223,0.834709740398993,0.276966321848371,-0.557743418550622,"2",162272299,"F","I","TBR1","TSS1500","shore","TSS1500-shore","chr2:162273294-162273725",NA,NA,"","","","DOWN"
"cg13002493",-0.577821564310457,0.470981300417987,-32.3281746385641,1.00515578636981e-117,3.50023819897184e-117,257.919087879495,0.717464625053916,NA,NA,"17",39683800,"F","I","KRT19","Body","shore","Body-shore","chr17:39683908-39684599",TRUE,NA,"","","","DOWN"
"cg22844232",-0.527075686407371,0.360685099094086,-32.288184162165,1.1346340446549e-117,3.94947200376958e-117,257.794756582955,0.586224462580031,0.0591487761726599,-0.527075686407372,"3",193776047,"F","I","","IGR","shore","IGR-shore","chr3:193776091-193776308",TRUE,NA,"","","","DOWN"
"cg14085017",-0.536402767865304,0.420595048342075,-32.5302511575651,1.23438359252876e-117,4.29489401582061e-117,257.738679825962,0.643565320020052,NA,NA,"11",63775226,"F","II","MACROD1","Body","shore","Body-shore","chr11:63775346-63775613",NA,TRUE,"","","","DOWN"
"cg25801976",-0.524077535323093,0.467667857286587,-32.2747301956293,1.28984421578166e-117,4.48599441242298e-117,257.666451840738,0.691924291006236,0.167846755683142,-0.524077535323095,"8",48648112,"F","II","KIAA0146","3'UTR","shore","3'UTR-shore","chr8:48649766-48651653",TRUE,NA,"","","","DOWN"
"cg14824901",-0.465020823045053,0.414986795988491,-32.2731309700224,1.30965394083421e-117,4.55299584757762e-117,257.651199246581,0.613972450500793,0.148951627455739,-0.465020823045054,"1",209848535,"F","I","G0S2","TSS200","island","TSS200-island","chr1:209848443-209849428",TRUE,TRUE,"","","","DOWN"
"cg23097534",-0.508451265831611,0.49685623545561,-32.2567650678453,1.53074834709023e-117,5.31941418119459e-117,257.495091814581,0.71442607943937,0.205974813607757,-0.508451265831613,"5",37836748,"R","II","GDNF","5'UTR","island","5'UTR-island","chr5:37836747-37840726",NA,NA,"","","","DOWN"
"cg06664433",-0.578181414418562,0.434081674225447,-32.4961894781089,1.69798894023855e-117,5.89812873461656e-117,257.417664146606,NA,NA,NA,"5",139077178,"F","II","","IGR","island","IGR-island","chr5:139076542-139077179",TRUE,TRUE,"","","","DOWN"
"cg00695712",-0.501292247086336,0.380599691148553,-32.2417400804821,1.76649629619854e-117,6.1335453276985e-117,257.35174618219,0.595106141064567,0.0938138939782308,-0.501292247086336,"10",44882135,"R","I","","IGR","island","IGR-island","chr10:44879714-44882391",NA,NA,"","","","DOWN"
"cg05997350",-0.524098972088399,0.482778867721004,-32.2375642805188,1.83824834513709e-117,6.38002770057137e-117,257.311902170452,0.707044474382087,0.182945502293687,-0.5240989720884,"10",50817104,"F","I","SLC18A3","TSS1500","island","TSS1500-island","chr10:50817095-50817309",NA,NA,"","","","DOWN"
"cg21347053",-0.507797280761963,0.406076102864653,-32.2312529431716,1.95227219799901e-117,6.77295761714439e-117,257.251677598683,0.623366102074424,0.11556882131246,-0.507797280761964,"6",1624978,"F","I","GMDS","Body","island","Body-island","chr6:1624185-1625468",TRUE,NA,"","","","DOWN"
"cg14803306",-0.504809768867141,0.316779945397013,-32.2274767865923,2.02385316566269e-117,7.01837664837945e-117,257.215642130753,0.532791567423883,0.0279817985567414,-0.504809768867141,"2",47499716,"F","I","","IGR","island","IGR-island","chr2:47499464-47499813",NA,NA,"","","","DOWN"
"cg22655975",-0.537318950423907,0.350352066889229,-32.2412562430097,2.29806422278855e-117,7.96598693658738e-117,257.09155841906,0.579558052734392,NA,NA,"13",44453408,"F","I","CCDC122","5'UTR","island","5'UTR-island","chr13:44453207-44454295",NA,NA,"","","","DOWN"
"cg16648062",0.420983418942794,0.201219576097017,32.1867932971821,2.98341675170517e-117,1.03373967414952e-116,256.827294168304,0.0210778340377755,0.442061252980567,0.420983418942792,"8",104512168,"R","I","RIMS2","TSS1500","island","TSS1500-island","chr8:104510870-104513913",NA,NA,"","","","UP"
"cg03838635",-0.520607707593963,0.443354399328326,-32.1813468604162,3.14255503375706e-117,1.08842888689911e-116,256.775289480251,0.66612606955458,0.145518361960617,-0.520607707593963,"17",2628322,"F","I","","IGR","shore","IGR-shore","chr17:2627240-2628302",TRUE,NA,"","","","DOWN"
"cg16549073",-0.568611820612979,0.448291276003938,-33.7368115363252,3.73195477347909e-117,1.29096274027513e-116,256.763270448139,NA,NA,NA,"9",130331676,"F","II","FAM129B","Body","island","Body-island","chr9:130331537-130331934",NA,NA,"","rs2995821","","DOWN"
"cg12967137",-0.563455903638607,0.560353565057558,-32.2040481395309,3.27506823570748e-117,1.13385495404477e-116,256.737028410296,0.800708880595706,NA,NA,"14",29247605,"F","II","C14orf23","Body","island","Body-island","chr14:29247324-29247624",NA,NA,"","","","DOWN"
"cg21521784",-0.374486127434973,0.263119310726071,-32.1648165251285,3.67951809663564e-117,1.27335104305278e-116,256.617429424838,0.423364537349408,0.0488784099144353,-0.374486127434973,"19",30716329,"F","I","","IGR","island","IGR-island","chr19:30716328-30719970",NA,NA,"","","","DOWN"
"cg13912673",-0.548060396022679,0.350483639427672,-32.1518752236156,4.16327131206224e-117,1.43956823431159e-116,256.49382053008,0.585002506562958,0.036942110540279,-0.548060396022679,"9",86571904,"F","I","C9orf64","TSS1500","island","TSS1500-island","chr9:86571047-86572027",NA,TRUE,"","","","DOWN"
"cg07466807",-0.498327632682801,0.373141421964051,-32.1516839959383,4.17087764231927e-117,1.44160164765971e-116,256.491993866042,0.586379292693436,0.0880516600106349,-0.498327632682801,"2",173326947,"R","I","ITGA6","Body","opensea","Body-opensea","",NA,TRUE,"","","","DOWN"
"cg20824989",-0.524827335078962,0.533182836855848,-32.1453939713213,4.4289814503973e-117,1.53017828935563e-116,256.431907198677,0.757760115122195,0.232932780043232,-0.524827335078963,"2",208491939,"F","I","","IGR","shore","IGR-shore","chr2:208489428-208491030",NA,NA,"","rs2709394","","DOWN"
"cg22728534",-0.540274887278222,0.393283371410784,-32.1971462442805,4.52863835288695e-117,1.5639621661851e-116,256.415795839874,0.623026430954327,NA,NA,"2",87034800,"R","I","CD8A","5'UTR","island","5'UTR-island","chr2:87034658-87034889",NA,TRUE,"","","","DOWN"
"cg12054453",-0.550571578969504,0.58175640430938,-32.1412513515268,4.60764450643608e-117,1.59058934738707e-116,256.392331411141,0.817349824147494,0.266778245177988,-0.550571578969505,"17",57915717,"F","II","TMEM49","Body","opensea","Body-opensea","",NA,NA,"low-CpG:55269974-55270675","","","DOWN"
"cg13683667",-0.43993761980588,0.779921473378768,-32.1336883500492,4.95264430677469e-117,1.70897936963221e-116,256.320074250655,0.968173850225936,0.528236230420053,-0.439937619805883,"1",9527208,"R","I","","IGR","opensea","IGR-opensea","",NA,TRUE,"","","","DOWN"
"cg17142470",-0.526470398685634,0.496051101740312,-32.1283388474525,5.21217980421449e-117,1.79779314964525e-116,256.26896074846,0.721331458387188,0.194861059701554,-0.526470398685635,"8",22409684,"F","II","SORBS3","5'UTR","shore","5'UTR-shore","chr8:22408672-22409635",TRUE,NA,"","","","DOWN"
"cg17094014",-0.53703832553276,0.52989896888378,-32.1242660253148,5.41887042609163e-117,1.86831380683324e-116,256.23004336774,0.759701415158263,0.222663089625503,-0.53703832553276,"6",41605343,"F","I","MDFI","TSS1500","island","TSS1500-island","chr6:41604583-41606663",TRUE,NA,"","","","DOWN"
"cg18637459",-0.505816391373313,0.498843387458892,-32.1475528756994,5.61011872959886e-117,1.93345428494509e-116,256.19840342986,0.714611218744011,NA,NA,"12",108991991,"F","I","TMEM119","TSS200","opensea","TSS200-opensea","",TRUE,NA,"","","","DOWN"
"cg17265380",-0.421462304635914,0.385411213787895,-32.1188037012658,5.70902006844347e-117,1.96672798564028e-116,256.177845609995,0.565757874376287,0.144295569740372,-0.421462304635915,"21",26934383,"F","I","MIR155HG","TSS200","shore","TSS200-shore","chr21:26934423-26934805",TRUE,TRUE,"","","","DOWN"
"cg04178787",-0.540313827719348,0.486822529157972,-32.1173307406221,5.78989054253672e-117,1.99376527585951e-116,256.163769436727,0.718026585670438,0.177712757951089,-0.540313827719349,"2",123418787,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg22325480",-0.49438016064128,0.365454275953685,-32.1149597591249,5.92248164556487e-117,2.03858309299748e-116,256.141110882416,0.577002995856,0.0826228352147203,-0.49438016064128,"8",131029139,"F","I","","IGR","shore","IGR-shore","chr8:131028491-131029095",TRUE,NA,"","","","DOWN"
"cg01272707",-0.636486896972314,0.426664174468091,-32.1386853389268,6.10488056718941e-117,2.10050132859557e-116,256.113265698789,NA,0.0631693265468389,NA,"6",26172185,"F","I","","IGR","island","IGR-island","chr6:26172033-26172398",TRUE,NA,"","rs9379829","","DOWN"
